Class Nbr,Subject,Catalog,Section,Room Capacity,Req Rm Cap,Enrollment Capacity,Enrollment Total
1055,ACC,121,10,40,35,30,31
1056,ACC,121,20,40,35,30,32
1057,ACC,121,40,40,35,30,30
1066,ACC,121,50,40,35,30,30
1072,ACC,121,210,40,35,30,30
1067,ACC,122,10,40,35,30,19
1062,ACC,122,20,40,35,30,30
1064,ACC,122,40,40,35,30,30
1063,ACC,122,50,40,35,30,12
1060,ACC,305,10,39,35,30,31
1069,ACC,312,10,38,35,30,30
1061,ACC,317,410,40,30,30,30
1058,ACC,321,10,40,35,30,31
1070,ACC,321,20,39,35,30,9
1059,ACC,322,10,39,35,30,17
1054,ACC,323,10,40,35,30,27
1071,ACC,325,10,39,30,30,22
1065,ACC,330,10,34,35,30,17
1068,ACC,520,801,39,20,20,13
3457,ALM,100,5010,,40,0,0
1002,ANT,  10CD,10,81,80,10,10
1003,ANT,  10CD,20,81,80,10,10
1004,ANT,  10CD,30,81,80,50,43
1005,ANT,  10CD,40,81,80,50,17
1011,ANT,20,10,44,40,40,15
1009,ANT,20,20,44,20,30,30
1014,ANT,  40CD,10,38,30,30,31
1010,ANT, 105CDCT,10,44,35,25,25
3090,ANT, 202CTQL,10,44,30,25,9
1013,ANT,218,810,,35,35,18
3092,ANT,239,10,35,40,35,16
1008,ANT, 360CMWI,10,35,30,21,18
3140,APD,141,10,26,25,20,23
3141,APD,141,20,21,25,20,20
3196,APD,141,30,,20,0,1
3200,APD, 171CPVL,810,450,25,20,22
3201,APD, 171CPVL,811,450,21,20,21
3138,APD,231,10,21,25,20,20
3139,APD,231,20,26,21,20,21
2684,APD,271,10,21,21,20,3
2681,APD,271,20,,21,20,0
2686,APD,341,10,,21,20,0
3197,APD,341,20,26,21,20,18
3198,APD,341,30,26,25,20,18
3207,APD,342,10,,21,20,0
3208,APD,342,20,26,21,20,6
3209,APD,342,30,26,25,20,4
3210,APD,343,10,,21,20,0
3211,APD,343,20,26,21,20,0
3212,APD,343,30,26,25,20,0
3213,APD,344,10,,21,20,0
3214,APD,344,20,26,21,20,0
3215,APD,344,30,26,25,20,0
3216,APD,345,10,,21,20,0
3217,APD,345,20,26,21,20,0
3218,APD,345,30,26,25,20,0
3202,APD,351,10,26,25,20,13
3203,APD,352,10,26,25,20,12
3512,APD,352,990,,30,0,1
3204,APD,353,10,26,25,20,0
3205,APD,354,10,26,25,20,0
3206,APD,355,10,26,25,20,0
3491,APD,361,10,26,30,20,21
3492,APD,361,20,21,30,20,20
3493,APD,361,610,21,30,20,17
3522,APD,362,10,26,20,20,1
3523,APD,362,20,21,20,20,1
3524,APD,362,610,21,20,20,2
3250,ARC,  15VL,801,450,130,130,108
2843,ARC, 200VLWI,10,,24,24,0
3505,ARC, 211CDVL,10,39,25,25,13
3241,ARC, 211CDVL,20,30,25,25,9
3253,ARC, 211CDVL,30,30,25,25,4
3459,ARC, 211CDVL,40,30,25,25,16
3252,ARC, 241CDVL,10,39,22,22,11
2846,ARC, 300CTWI,10,39,24,24,15
3352,ARC,517,801,,40,40,3
3352,ARC,517,801,,40,40,3
3352,ARC,517,801,,40,40,3
2696,ARH,  24VL,810,150,130,130,54
2693,ARH,  25VL,10,150,130,130,35
3320,ARH,  25VL,20,,130,130,0
2692,ARH, 124CTWI,10,35,35,30,10
2697,ARH, 124CTWI,20,35,35,30,9
2694,ARH, 125CTWI,10,150,35,30,14
2695,ARH, 125CTWI,20,35,35,30,11
2702,ARH, 125CTWI,30,,35,30,0
3525,ARH, 125CTWI,40,150,35,30,6
3322,ARH, 126CTWI,10,150,35,30,27
3458,ARH, 126CTWI,20,150,30,30,7
3324,ARH,337,10,35,30,25,29
3576,ARH,339,960,,40,0,1
3600,ARH,351,990,,25,0,2
3323,ARH, 370CDWI,810,35,35,25,32
2698,ARH,385,10,,30,25,0
3244,ARH,385,510,150,30,25,29
3582,ARH,390,970,,30,0,1
3575,ARH,395,960,,40,0,1
2849,ART,  31VL,10,24,22,22,8
2850,ART,  31VL,20,24,22,22,2
2851,ART,  31VL,30,24,22,22,2
3258,ART,  31VL,40,24,22,22,8
2852,ART,  32VL,10,24,22,22,7
2853,ART,  32VL,20,24,22,22,5
2854,ART,  32VL,30,24,22,22,9
2856,ART, 182CP,810,22,20,19,9
2859,ART, 182CP,811,26,25,20,11
3246,ART,331,10,,25,20,0
3247,ART,331,20,,21,20,0
3245,ART,331,610,,21,20,0
2896,ARU, 132CD,10,39,22,22,24
2889,ARU,210,10,,22,22,10
2863,ARU,236,10,24,40,20,18
2864,ARU,236,20,24,40,20,20
2871,ARU,236,30,24,20,20,19
2895,ARU,236,610,24,20,20,20
2887,ARU,301,10,,10,0,7
2887,ARU,301,10,30,10,0,7
2888,ARU,301,20,,10,0,10
2888,ARU,301,20,30,10,0,10
2877,ARU,310,410,39,22,22,18
2877,ARU,310,410,,22,22,18
2873,ARU,330,210,30,22,22,11
3249,ARU, 331CD,810,,20,20,17
3254,ARU,390,15,,20,0,0
2865,ARU,390,25,,40,30,7
3255,ARU,391,16,,20,0,0
2866,ARU,391,26,,30,30,7
2894,ARU,401,10,,22,22,0
2893,ARU,401,101,,40,20,2
2872,ARU,420,401,,20,22,5
2872,ARU,420,401,39,20,22,5
2876,ARU,420,410,,22,22,0
2876,ARU,420,410,39,22,22,0
2874,ARU,430,201,30,20,20,3
2875,ARU,430,210,30,20,20,0
2882,ARU,440,801,,1,18,0
2883,ARU,440,810,,1,18,0
2886,ARU,475,10,30,1,0,0
2886,ARU,475,10,,1,0,0
2885,ARU,475,101,,1,1,4
2885,ARU,475,101,30,1,1,4
3533,ARU,477,902,,30,0,1
2869,ARU,490,101,,20,20,0
3271,ARU,490,102,,20,20,1
2870,ARU,491,101,,30,20,0
3272,ARU,491,102,,30,30,1
2881,ARU,517,801,,20,20,17
2881,ARU,517,801,,20,20,17
2881,ARU,517,801,,20,20,17
2867,ARU,522,801,450,15,20,18
3531,ARU,542,101,20,20,20,0
3531,ARU,542,101,35,20,20,0
3527,ARU,542,601,20,20,20,1
3527,ARU,542,601,20,20,20,1
3529,ARU,543,101,24,20,20,2
2900,ARU,561,801,450,30,20,2
2892,ARU,562,801,,20,20,8
2884,ARU,591,801,450,22,22,23
3118,AST,16,10,48,40,40,33
3122,AST,16,20,,40,40,0
1985,AST, 140QL,10,28,28,24,12
1986,AST, 140QL,11,28,28,24,12
1988,AST,242,10,19,40,19,8
1989,AST,242,11,19,40,19,8
2977,AST,342,10,19,40,15,8
2580,BIO,10,10,290,144,120,65
2584,BIO,10,11,24,24,24,21
2585,BIO,10,12,24,24,24,15
2582,BIO,10,13,24,24,24,6
2628,BIO,10,14,24,24,24,19
2583,BIO,10,15,24,24,24,4
2630,BIO,12,10,137,120,72,37
2629,BIO,12,11,24,24,24,9
2631,BIO,12,12,24,24,24,12
2633,BIO,12,13,24,24,24,16
2588,BIO,104,10,170,96,64,33
2592,BIO,104,13,24,24,16,14
2635,BIO,104,15,24,24,16,11
2590,BIO,104,019H,24,24,16,5
2589,BIO,104,20,290,120,64,22
2593,BIO,104,21,24,24,16,10
3166,BIO,104,23,24,20,16,3
2649,BIO,104,30,198,60,48,9
2651,BIO,104,32,24,24,16,1
2594,BIO,104,33,24,24,16,5
2648,BIO,104,216,24,24,16,3
2650,BIO,104,331,24,24,16,3
2652,BIO,104,423,24,24,16,1
2595,BIO,104,525,24,24,16,8
2637,BIO,106,10,175,140,60,37
2644,BIO,106,11,24,24,20,16
2646,BIO,106,13,24,24,20,16
2645,BIO,106,212,24,24,20,5
2596,BIO,108,10,198,120,100,97
2597,BIO,108,11,24,24,20,20
2600,BIO,108,13,24,24,20,20
2598,BIO,108,14,24,24,20,17
2599,BIO,108,312,24,24,20,20
2627,BIO,108,416,24,24,20,20
2640,BIO,120,10,70,20,20,23
2641,BIO,120,11,24,20,20,23
2601,BIO,130,10,70,80,50,50
2602,BIO,140,10,137,80,50,19
2658,BIO,146,10,80,40,50,50
2603,BIO,224,10,170,96,80,89
2606,BIO,224,11,24,24,20,21
2604,BIO,224,12,24,24,20,21
2607,BIO,224,13,24,24,20,23
2605,BIO,224,14,24,24,20,24
2654,BIO,230,10,290,24,20,17
2655,BIO,230,11,24,24,20,17
2638,BIO,236,10,137,20,20,18
2639,BIO,236,11,24,20,20,18
2608,BIO,244,10,70,48,20,23
2609,BIO,244,11,24,24,20,23
2624,BIO,264,10,80,40,30,28
2625,BIO,264,11,24,40,15,14
2626,BIO,264,12,24,40,15,14
2621,BIO, 270CTWI,10,81,40,30,30
2622,BIO, 270CTWI,11,24,40,15,15
2623,BIO, 270CTWI,12,24,40,15,15
3430,BIO,326,10,,48,20,0
3431,BIO,326,11,,48,48,0
2614,BIO,330,10,70,48,30,35
2616,BIO,330,11,24,24,15,18
2615,BIO,330,12,24,24,15,17
3167,BIO, 332WI,10,137,24,20,23
3168,BIO, 332WI,11,24,24,20,23
2610,BIO,346,10,290,48,30,34
2611,BIO,346,11,24,24,15,17
2612,BIO,346,512,24,24,15,17
2656,BIO,357,10,80,40,20,12
2657,BIO,357,11,24,40,20,12
3591,BIO,370,960,,40,0,1
2613,BIO,380,10,15,15,10,10
2634,BIO,380,20,15,15,10,9
2617,BIO,457,401,24,24,12,0
2620,BIO,457,410,24,24,12,12
1073,BUS,131,10,81,80,60,20
1074,BUS,131,20,81,80,60,38
1075,BUS,131,30,136,50,50,40
1078,BUS,220,10,38,30,30,27
1079,BUS,220,20,32,30,30,21
1080,BUS,220,30,32,30,30,30
1081,BUS,220,40,32,30,30,29
2960,BUS,220,50,38,30,30,12
1082,BUS,275,10,38,30,30,22
1084,BUS,275,20,38,30,30,17
1085,BUS,275,30,38,30,30,17
2972,BUS,275,40,38,30,30,17
2967,BUS,275,50,38,30,30,23
1076,BUS, 332WI,810,33,25,25,26
1077,BUS,572,801,38,20,20,10
1213,CDE,10,10,26,25,23,19
1217,CDE,10,20,26,25,0,0
1214,CDE,10,30,26,25,23,16
1224,CDE,10,810,450,25,25,24
1218,CDE,10,811,450,22,20,2
1228,CDE,115,10,22,20,16,18
1229,CDE,115,20,22,20,16,19
3175,CDE,115,610,22,20,16,17
1207,CDE, 130CPVL,10,26,20,11,17
1209,CDE, 130CPVL,019H,22,20,5,5
1189,CDE, 130CPVL,20,22,20,11,12
1188,CDE, 130CPVL,30,22,20,16,19
1191,CDE,151,10,22,20,16,17
1225,CDE,151,20,22,20,16,17
1226,CDE,151,30,22,20,16,17
3174,CDE,220,15,25,35,11,15
3462,CDE,220,16,25,16,17,18
3220,CDE,220,019H,25,5,5,5
3463,CDE,220,029H,25,16,3,2
1219,CDE,238,10,25,21,18,20
1221,CDE,238,30,26,21,18,19
1222,CDE,238,40,22,20,18,18
1220,CDE,238,610,26,21,18,18
1192,CDE,241,10,25,21,18,18
1193,CDE,241,20,26,21,18,20
1194,CDE,241,30,25,21,18,18
3173,CDE,241,40,26,21,18,18
3418,CDE,271,10,33,40,20,2
3419,CDE,271,20,33,40,20,2
1195,CDE,276,10,26,25,18,19
1215,CDE,276,20,22,20,18,19
1227,CDE,276,30,26,25,18,19
3172,CDE,276,40,22,20,18,19
1233,CDE,346,16,26,24,20,17
1196,CDE,361,15,25,20,18,22
1197,CDE,364,15,22,20,18,22
1210,CDE,366,15,26,24,20,25
1198,CDE,367,16,25,20,18,22
1199,CDE,374,16,22,20,18,20
1223,CDE,381,16,22,20,18,22
3510,CDE,381,26,22,20,18,17
1200,CDE,382,15,22,20,18,21
3511,CDE,382,25,22,20,18,18
1201,CDE,383,15,25,20,16,22
1202,CDE,384,16,25,20,18,21
1203,CDE,385,15,26,24,21,20
1204,CDE,386,16,26,24,21,21
1205,CDE,387,15,26,20,18,16
1206,CDE,389,16,26,20,18,17
3598,CDE,394,970,,40,0,6
3599,CDE,394,971,,40,0,8
1235,CDE,398,810,150,25,18,41
1211,CDE,501,801,25,10,10,0
1211,CDE,501,801,25,10,10,0
3176,CDE,502,801,22,10,10,9
3176,CDE,502,801,22,10,10,9
1212,CDE,506,801,25,10,10,0
1212,CDE,506,801,25,10,10,0
1216,CDE,516,801,22,10,10,9
1216,CDE,516,801,22,10,10,9
1253,CDH, 150CD,810,450,120,100,100
1254,CDH,550,801,450,5,5,0
2725,CFT, 121VL,10,24,20,20,20
3313,CFT, 121VL,610,24,20,20,20
2734,CFT, 131VL,10,35,20,20,14
2734,CFT, 131VL,10,20,20,20,14
2729,CFT, 141VL,10,35,25,20,15
2729,CFT, 141VL,10,20,25,20,15
2740,CFT,271,10,21,21,20,3
2737,CFT,271,20,,21,20,0
2722,CFT, 321CT,10,24,20,20,8
2706,CFT,322,10,24,20,20,6
2707,CFT,323,10,24,20,20,1
3580,CFT,323,990,,20,0,1
2708,CFT,324,10,24,20,20,0
3581,CFT,324,990,,20,0,1
2709,CFT,325,10,24,20,20,3
2723,CFT, 331CT,10,35,20,20,2
2723,CFT, 331CT,10,20,20,20,2
2710,CFT,332,10,35,20,20,3
2710,CFT,332,10,20,20,20,3
2711,CFT,333,10,20,20,20,1
2711,CFT,333,10,35,20,20,1
2712,CFT,334,10,35,20,20,0
2712,CFT,334,10,20,20,20,0
2713,CFT,335,10,35,20,20,0
2713,CFT,335,10,20,20,20,0
2741,CFT, 341CT,610,20,20,20,7
2741,CFT, 341CT,610,20,20,20,7
2714,CFT,342,610,20,20,20,1
2714,CFT,342,610,35,20,20,1
2738,CFT,343,610,20,20,20,4
2738,CFT,343,610,20,20,20,4
2715,CFT,344,610,20,20,20,4
2715,CFT,344,610,20,20,20,4
2716,CFT,345,610,20,20,20,1
2716,CFT,345,610,20,20,20,1
2724,CFT, 361CT,10,24,22,18,8
2717,CFT,362,10,24,22,18,4
2718,CFT,363,10,24,22,18,1
2719,CFT,364,10,24,22,18,2
2720,CFT,365,10,24,22,18,0
3579,CFT,377,960,,40,0,2
3530,CFT,542,101,35,20,20,0
3530,CFT,542,101,20,20,20,0
3526,CFT,542,601,20,20,20,1
3526,CFT,542,601,20,20,20,1
3528,CFT,543,101,24,20,20,0
1823,CHI,101,10,38,32,25,10
1824,CHI,103,10,25,25,25,4
2031,CHM,51,10,175,175,120,120
1992,CHM,100,10,137,137,60,35
1994,CHM,100,11,20,20,15,13
2028,CHM,100,12,20,20,15,11
2026,CHM,100,13,20,20,15,9
1998,CHM,100,14,20,18,0,0
1993,CHM,100,20,137,137,60,31
1996,CHM,100,21,20,20,15,7
1997,CHM,100,22,20,20,15,7
1999,CHM,100,23,20,20,15,11
2000,CHM,100,24,20,18,0,0
2027,CHM,100,25,20,20,15,6
2032,CHM,100,326,20,20,15,0
1995,CHM,100,415,20,20,15,2
2001,CHM,102,10,137,137,32,33
2002,CHM,102,11,20,20,16,17
2003,CHM,102,12,20,20,0,0
2004,CHM,102,213,20,20,16,16
2023,CHM,204,10,70,70,24,26
2025,CHM,204,11,16,16,12,13
2024,CHM,204,12,16,16,12,13
2010,CHM, 214VL,10,198,198,84,85
2011,CHM, 214VL,11,16,16,14,16
2012,CHM, 214VL,12,16,16,14,14
2013,CHM, 214VL,13,16,16,14,14
2014,CHM, 214VL,14,16,16,14,13
2022,CHM, 214VL,15,16,16,14,14
2015,CHM, 214VL,316,16,16,14,14
2029,CHM, 216WI,10,48,48,8,11
2030,CHM, 216WI,11,16,16,8,11
2016,CHM, 230QLWI,10,48,48,20,28
2017,CHM, 230QLWI,11,18,16,10,14
2018,CHM, 230QLWI,12,18,16,10,14
2005,CHM,310,10,80,80,32,40
2006,CHM,310,11,24,24,16,20
2008,CHM,310,12,,24,16,0
2007,CHM,310,13,24,24,16,20
2009,CHM,314,10,48,48,28,28
2021,CHM,314,11,18,18,14,14
2033,CHM,314,414,18,40,14,14
2019,CHM,320,10,48,48,14,16
2020,CHM,320,11,16,16,14,16
3543,CHM,370,960,,40,0,1
3544,CHM,371,960,,40,0,1
1549,CMP,100,019H,40,24,0,0
1547,CMP,100,20,28,24,0,0
1548,CMP,100,21,40,24,0,0
1583,CMP,100,24,35,24,0,0
1551,CMP,100,30,36,24,0,0
3129,CMP,100,31,29,24,0,0
1552,CMP,100,32,34,24,0,0
1596,CMP,100,33,28,24,0,0
1578,CMP,100,34,39,24,0,0
1601,CMP,100,35,40,24,0,0
3142,CMP,100,36,33,24,0,0
3143,CMP,100,40,33,24,0,0
1553,CMP,100,41,40,24,0,0
1563,CMP,100,42,32,24,0,0
3130,CMP,100,43,28,24,0,0
1557,CMP,100,51,40,24,0,0
1556,CMP,100,52,35,24,0,0
1615,CMP,100,53,40,24,0,0
1558,CMP,100,54,54,24,0,0
1589,CMP,100,55,34,24,0,0
3367,CMP,100,56,40,24,0,0
1590,CMP,100,60,34,24,22,22
1560,CMP,100,61,34,24,0,0
1561,CMP,100,62,35,24,24,24
1604,CMP,100,64,40,24,0,0
3368,CMP,100,65,40,24,0,0
1565,CMP,100,70,39,24,0,0
3117,CMP,100,90,28,24,0,0
1567,CMP,100,91,39,24,0,0
3369,CMP,100,92,40,24,0,0
1568,CMP,100,110,35,24,0,0
1579,CMP,100,112,23,24,0,0
1616,CMP,100,113,40,24,0,0
3119,CMP,100,114,39,24,24,24
3370,CMP,100,115,40,24,0,0
1570,CMP,100,120,35,24,0,0
1580,CMP,100,121,23,24,0,0
3120,CMP,100,122,40,24,0,0
1569,CMP,100,131,40,24,24,24
3371,CMP,100,132,40,24,0,0
1562,CMP,100,810,450,24,0,3
1607,CMP,200,30,40,40,24,24
3147,CMP,200,31,40,40,24,24
1588,CMP,200,40,40,40,24,24
1591,CMP,200,50,23,24,0,0
3500,CMP,200,51,28,24,0,0
1581,CMP,200,70,30,40,24,24
3499,CMP,200,71,39,40,0,0
1587,CMP,200,079H,23,40,23,8
3573,CMP,200,81,40,40,24,24
3110,CMP,200,93,34,40,24,24
3112,CMP,200,94,40,40,24,24
1573,CMP,200,099H,23,40,23,7
1586,CMP,200,111,34,40,24,24
3127,CMP,200,112,39,40,24,24
1585,CMP,200,120,39,40,24,24
3131,CMP,200,121,25,40,24,24
3111,CMP,200,123,35,40,24,24
1605,CMP,200,124,34,40,24,24
3574,CMP,200,125,40,40,24,24
1582,CMP,200,130,34,40,24,24
1576,CMP,200,810,,40,24,24
3113,CMP,200,811,,40,24,24
3146,CMP,200,813,,40,24,24
1599,CMP,201,10,29,22,24,24
1600,CMP,201,20,29,22,24,24
3345,CMP,201,30,35,22,24,24
3346,CMP,201,40,29,22,24,24
3434,CMP,201,50,35,40,24,24
1609,CMP,202,10,35,30,24,24
1610,CMP,202,20,48,30,24,24
1611,CMP,202,30,,30,24,0
3085,COM,10,019H,42,25,25,13
3080,COM,10,20,36,25,25,25
3081,COM,10,21,48,25,25,25
3082,COM,10,30,36,25,25,25
3083,COM,10,31,48,25,25,25
3084,COM,10,40,42,25,0,4
3086,COM,10,51,36,25,25,25
3087,COM,10,52,40,25,25,25
3088,COM,10,60,36,25,25,25
3089,COM,10,61,40,25,25,25
3605,COM,10,80,42,25,25,25
3063,COM,10,110,40,25,25,25
3064,COM,10,120,40,25,25,25
3054,COM,10,121,42,25,25,25
3604,COM,10,122,40,25,25,25
3603,COM,10,130,40,25,25,18
3047,COM,10,810,450,25,25,25
3048,COM,10,811,450,25,25,23
3049,COM,10,812,,25,25,0
3050,COM,10,813,450,25,25,11
3079,COM,10,814,450,25,25,25
2497,COM,10,817,450,25,25,22
3065,COM,105,110,40,25,25,25
3070,COM,105,120,40,25,25,25
2524,COM,130,810,,25,35,24
3051,COM,130,811,,25,35,0
3072,COM,130,812,,25,30,19
2485,COM,140,810,450,100,100,35
2529,COM,170,810,450,40,35,35
3067,COM,170,811,450,25,30,22
2487,COM,201,110,35,25,25,14
3066,COM,201,120,35,25,25,25
3059,COM, 210CT,810,450,25,35,31
3060,COM, 212CT,810,450,35,35,35
3061,COM, 212CT,811,450,35,35,5
2486,COM, 215CM,810,450,25,35,35
3057,COM, 215CM,811,450,25,35,35
2527,COM,235,810,450,25,35,36
3069,COM,237,110,35,25,25,23
2534,COM, 240CTWI,110,42,25,25,15
2515,COM, 240CTWI,120,42,25,25,20
2536,COM,243,110,25,25,25,15
2488,COM, 245CM,810,450,30,35,23
2533,COM, 245CM,811,,30,35,0
3053,COM, 248CDCM,810,,25,35,23
3078,COM,261,810,,40,48,10
3062,COM,271,810,35,25,25,11
3056,COM,274,810,450,25,35,13
2535,COM,285,810,,25,35,0
3071,COM,305,110,25,25,25,25
3058,COM, 313CD,810,450,25,25,18
3075,COM,314,810,,25,25,20
3517,COM,314,811,450,40,25,17
3073,COM,315,110,40,25,30,17
2528,COM, 319CT,810,450,25,35,23
2492,COM,321,810,35,25,35,24
2530,COM, 340CTWI,810,450,25,25,25
2531,COM, 340CTWI,811,450,25,25,21
2521,COM, 350CT,810,,25,35,17
3077,COM,370,10,,25,30,0
2493,COM,380,810,450,25,25,12
2526,COM,380,811,450,25,25,13
1255,COU,507,101,48,40,20,20
1261,COU,507,102,38,40,20,20
1271,COU,507,103,40,40,20,21
1270,COU,518,101,,40,20,3
1275,COU,518,102,38,40,20,12
1272,COU,519,102,35,23,20,13
1274,COU,519,801,30,23,20,14
1264,COU,522,101,48,23,20,20
2981,COU,522,102,48,23,20,20
1256,COU,530,101,30,18,18,16
1263,COU,530,102,48,18,18,7
2989,COU,530,103,40,23,20,11
1276,COU,532,101,48,40,20,16
1257,COU,535,101,41,40,20,20
1265,COU,535,102,35,23,20,20
1262,COU,546,102,48,18,18,12
1269,COU,546,103,48,23,18,18
1258,COU,548,101,48,40,20,20
1268,COU,548,102,35,23,20,6
2986,COU,548,103,38,23,0,1
2991,COU,558,101,40,40,20,10
2987,COU,562,102,30,40,20,20
2988,COU,562,103,32,40,20,20
2990,COU,573,101,48,30,20,16
2992,COU,575,101,41,30,20,19
1259,COU,590,101,16,40,0,9
1260,COU,590,102,32,40,0,10
1278,COU,590,103,48,1,0,9
1266,COU,594,102,41,1,0,11
1267,COU,594,103,35,1,0,11
1280,COU,594,105,35,1,0,12
3260,CRJ,10,10,48,25,0,2
1316,CRJ,10,20,40,35,35,35
1315,CRJ,10,30,48,25,0,8
1324,CRJ,10,40,48,35,25,23
1299,CRJ,10,50,38,25,0,3
3261,CRJ,10,810,,35,35,28
3285,CRJ,101,10,30,30,30,18
1329,CRJ,101,20,48,35,35,30
1318,CRJ,121,10,48,35,32,32
1301,CRJ,121,20,48,35,35,18
3262,CRJ,121,30,48,35,35,22
1320,CRJ,170,10,35,35,35,35
1303,CRJ,175,10,38,35,35,32
1313,CRJ,175,20,35,35,35,25
3263,CRJ,175,30,38,35,35,21
3273,CRJ,182,10,35,35,35,28
1332,CRJ,190,810,,35,35,35
3265,CRJ,210,10,38,35,35,33
3286,CRJ,215,10,25,25,25,25
1327,CRJ, 221CM,10,30,30,30,21
1317,CRJ, 221CM,810,,35,35,35
3267,CRJ,250,10,40,35,35,20
3266,CRJ,250,20,38,35,35,17
1305,CRJ,250,810,,35,35,16
1322,CRJ,270,10,48,35,35,20
1306,CRJ,270,20,48,35,35,24
3471,CRJ,271,210,30,30,30,19
3472,CRJ,272,810,,30,30,6
3268,CRJ,274,10,35,35,35,34
3228,CRJ,301,10,40,35,35,36
1321,CRJ, 362CPWI,10,38,20,20,10
1308,CRJ, 362CPWI,20,40,20,20,20
1314,CRJ, 362CPWI,30,38,20,20,20
1298,CRJ, 362CPWI,40,48,20,20,20
3385,CRJ,370,10,48,35,35,35
1312,CRJ, 380CTWI,10,40,12,12,13
1300,CRJ, 380CTWI,20,35,12,12,13
1337,CRJ, 380CTWI,30,35,12,12,12
2949,CSC,5,10,29,29,25,17
1391,CSC,101,810,29,29,22,24
1392,CSC,101,811,29,29,22,25
1344,CSC,111,10,29,29,25,25
1358,CSC, 125CT,10,41,30,20,10
1359,CSC, 125CT,20,41,30,20,23
1348,CSC,135,10,29,28,18,18
1346,CSC,135,20,29,28,18,6
1373,CSC,135,21,28,28,18,0
1347,CSC,135,30,29,28,18,11
1368,CSC,135,40,28,28,0,0
1382,CSC,135,049H,28,25,0,0
1360,CSC, 136CP,10,28,25,18,16
1367,CSC, 136CP,20,29,25,18,17
3033,CSC,150,10,41,30,20,11
3034,CSC,150,20,41,30,20,11
3035,CSC,150,30,28,30,0,0
3407,CSC,150,039H,28,30,0,5
1376,CSC, 220CPVL,10,29,28,20,25
1377,CSC, 220CPVL,20,29,28,20,26
1370,CSC,223,10,29,29,18,15
1393,CSC,223,20,29,29,18,18
1355,CSC,225,10,41,35,28,24
1349,CSC,235,10,29,28,18,18
1384,CSC,235,20,29,28,18,19
1350,CSC,237,10,41,28,18,17
1375,CSC,237,20,41,28,18,14
1351,CSC,242,10,29,28,18,19
1366,CSC,242,20,29,28,18,19
1381,CSC,253,10,29,28,18,4
1357,CSC,253,20,29,28,18,13
1352,CSC,311,10,29,28,18,25
1356,CSC,311,20,29,28,18,24
1394,CSC,320,10,29,29,25,25
3032,CSC,325,10,41,30,20,12
3482,CSC,328,10,29,40,20,22
3483,CSC,328,20,29,40,20,25
1353,CSC,341,10,28,28,23,25
1365,CSC,341,20,28,28,23,26
1354,CSC,343,10,29,28,20,23
